Sept FOB	Sept mites/100 bees	Feb FOB
16	3	6
16	4.5	7
16	4.2	8
16	4.9	0
16	2.2	7
16	3.1	3
13	7	8
15	7.9	2
15	3.6	0
16	1.7	8
14	2.8	5
16	0	9
16	0	2
16	1.4	7
16	2.5	5
16	1.4	9
13	0.7	9
16	0.7	1
16	0.6	13
16	1.4	3
16	4.6	7
16	5.1	13
13	2.9	1
16	0.7	12
16	3.9	3
16	9.1	0
16	5.6	12
16	9.7	1
16	10.5	0
16	5	0
16	1.2	11
16	4.2	3
16	5.3	1
16	1.9	9
16	4.9	12
16	3.9	3
16	1.2	11
16	4.3	6
16	4.3	0
16	6.9	3
16	7.3	4
16	4.1	0
16	3.9	2
16	3.9	5
16	1.5	2
16	5.1	4
16	4	4
16	17.3	0
16	2.2	1
16	4	12
16	7	14
16	3.5	6
16	0	4
16	2.3	13
16	3.7	4
16	9.2	6
16	3	2
16	0	13
16	1.5	1
16	8.1	2
15	7.6	12
16	3.6	4
14	7.6	12.5
16	11	11
16	4.6	8
16	1.9	8
16	7.8	10
15	6.7	13
16	5	12
16	1.9	10
16	5.2	12
16	1.2	13
15	0.3	16
15	0	14
8	0	13
11	0	8
14	0.3	10
10	0	9
14	0	5.5
12	0	5
10	0	7
14	0	12
15	0	5
15	0	0
12.5	0	10
15	0	6
11	0	5
13	0	1
7	0	10
15	0.3	13
14.5	0	8
12	0	9
11.5	0	5
9	0	4
8	0.7	6
13	0	7.5
11	3	12
14	0	0
13.5	0	8.5
10	0	13
9	0	10.5
15.5	0	12
14	0	6
15	0	10
14	0	6
14	0	8
8	0.3	9.5
12	0.3	14
13	0.3	12
10.5	0.7	14.5
13	0	11
12	0	11
13	0	12.5
12.5	0	14
11	0	12
11	0.3	12
